10, 134, 2, 18, 100.0
130, 220, 0, 14, 100.0
10, 272, 3, 9, 99.39986
300, 329, 0, 7, 99.7997
20, 352, 1, 26, 93.79964
350, 379, 2, 11, 88.79956
370, 448, 1, 24, 91.19937
420, 477, 2, 7, 86.39929
280, 521, 3, 8, 84.19917
510, 575, 2, 3, 83.99902
470, 707, 1, 21, 97.79866
650, 732, 2, 9, 92.19859
770, 818, 0, 1, 97.798355
810, 846, 2, 4, 92.79828
740, 910, 1, 18, 94.198105
940, 970, 2, 15, 94.99794
1010, 1055, 2, 13, 100.0
550, 1191, 3, 6, 100.0
1190, 1223, 2, 4, 95.79991
1200, 1264, 3, 5, 93.1998
940, 1321, 1, 16, 93.39964
1290, 1371, 0, 9, 92.399506
1350, 1415, 1, 14, 90.39938
1280, 1437, 3, 4, 84.39932
1420, 1460, 2, 11, 78.39926
1430, 1486, 1, 12, 73.19919
1450, 1505, 3, 2, 66.59914
1510, 1547, 3, 2, 64.19902
1510, 1574, 1, 11, 58.998947
1560, 1617, 2, 3, 56.79883
1610, 1698, 1, 7, 61.398605
1560, 1722, 3, 8, 55.59854
1720, 1756, 0, 7, 51.798447
1720, 1797, 1, 4, 49.198334
1750, 1809, 3, 6, 41.3983
1810, 1832, 3, 5, 35.39825
1820, 1850, 1, 1, 28.598263
1810, 1874, 2, 16, 22.99828
1850, 1935, 3, 4, 23.998322
1940, 1993, 3, 3, 24.398361
2010, 2047, 3, 1, 24.198399
1870, 2087, 1, 17, 21.398426
2050, 2109, 3, 2, 15.398441
2120, 2160, 2, 17, 14.398463
2110, 2234, 3, 1, 17.798496
2220, 2267, 2, 11, 13.798518
2290, 2331, 0, 14, 15.198542
2350, 2423, 2, 11, 21.798592
2110, 2500, 1, 16, 25.598644
2450, 2521, 0, 6, 19.398659
2480, 2557, 2, 7, 15.998684
2530, 2661, 1, 14, 24.598745
2690, 2742, 1, 12, 29.198801
2650, 2770, 2, 22, 24.19882
2770, 2807, 0, 12, 20.998846
2840, 2869, 0, 8, 22.198889
2780, 2910, 1, 9, 19.398916
2940, 2956, 2, 8, 17.798948
2930, 2979, 0, 3, 11.998963
3010, 3043, 2, 3, 13.398978
2950, 3090, 1, 6, 11.798988
3110, 3172, 1, 4, 16.599014
3190, 3241, 1, 3, 18.999054
3280, 3320, 0, 2, 23.199108
3260, 3341, 1, 2, 16.999123
3360, 3390, 1, 1, 15.799151
3360, 3441, 2, 15, 14.999176
3430, 3473, 0, 7, 10.799184
3440, 3594, 1, 7, 22.599234
3580, 3625, 0, 7, 18.199255
3610, 3739, 1, 6, 28.799334
3540, 3759, 2, 2, 22.399347
3710, 3776, 0, 1, 15.399359
3760, 3843, 1, 3, 17.399391
3850, 3888, 0, 3, 15.59942
3870, 3923, 1, 2, 11.799432
3920, 3976, 2, 16, 11.399439
4020, 4053, 0, 13, 15.199461
4120, 4138, 2, 5, 20.599506
4150, 4182, 0, 6, 18.399536
3950, 4209, 1, 15, 13.399555
4240, 4274, 1, 13, 14.9995775
4300, 4347, 1, 12, 18.199614
4230, 4373, 2, 10, 12.799631
4420, 4432, 2, 5, 13.399647
4590, 4607, 0, 6, 34.999687
4360, 4637, 1, 11, 30.399708
4640, 4655, 2, 11, 23.59972
4670, 4707, 1, 7, 22.999756
4710, 4741, 0, 13, 18.999779
4730, 4758, 2, 5, 12.199791
4790, 4824, 0, 8, 13.999808
4710, 4871, 1, 6, 12.399821
4900, 4945, 0, 2, 15.799846
4870, 4985, 2, 19, 12.999863
5010, 5037, 2, 16, 12.399875
4890, 5106, 1, 4, 14.799895
4970, 5255, 0, 8, 31.599981
5280, 5348, 2, 4, 38.39992
5160, 5385, 1, 25, 34.99989
5400, 5435, 1, 25, 33.999886
5420, 5474, 2, 20, 30.999912
5470, 5506, 0, 1, 26.799934
5500, 5522, 1, 20, 19.599945
2250, 5545, 3, 15, 13.799961
5550, 5581, 1, 17, 10.1999655
5620, 5701, 1, 14, 21.800013
5570, 5724, 3, 13, 16.000029
5720, 5766, 1, 13, 13.600048
5750, 5820, 2, 17, 13.200064
5790, 5864, 0, 7, 11.200071
5960, 5986, 2, 6, 23.200123
